id,ra,dec,z,d_c,z_v,d_c_v,x_c,y_c,z_c,vx,vy,vz,vr,log_m,z_s,bulge_length,bulge_axis_ratio,bulge_angle,disk_length,disk_angle,disk_axis_ratio,ra_mag,dec_mag,Mass,
126034944,0.453314,0.136797,0.86693,2136.07,0.86706,2136.33,16.9,2136,5.1,-227,23,-124,20.9,11.814,0.8671,0.00352734,0.535789,138.584,1.06571,138.584,0.535789,0.436837,0.131822,6.51628E+11,
126035072,0.59706,0.958403,0.86912,2140.32,0.87213,2146.16,22.3,2139.9,35.8,-351,491,-259,482.9,11.387,0.8721,0.0278085,0.798295,-148.175,0.401737,-148.175,0.798295,0.578219,0.948922,2.43781E+11,
126035200,1.286486,0.450223,0.86793,2138,0.87119,2144.34,48,2137.4,16.8,-104,527,-181,523.1,12.145,0.8712,0.0131898,0.915766,-78.237,1.00431,-78.237,0.915766,1.26725,0.440353,1.39637E+12,
126035328,1.8416,0.792311,0.86763,2137.42,0.86866,2139.43,68.68,2136.11,29.56,107,-51,39,166.4,11.471,0.8687,0.0558942,0.562321,-58.204,0,-58.204,0.562321,1.821036,0.782241,2.95801E+11,
126035456,0.178231,1.968964,0.86591,2134.07,0.86724,2136.68,6.63,2132.8,73.32,16,-76,6,215.1,12.143,0.8672,0.00961353,0.377458,-139.331,0.324476,-139.331,0.377458,0.162115,1.957152,1.38995E+12,
126035584,2.143827,1.524221,0.86973,2141.5,0.86807,2138.28,80.08,2139.25,56.96,119,-415,316,-265.9,12.563,0.8681,0.0823177,0.82023,30.9622,0,30.9622,0.82023,2.124081,1.517934,3.65595E+12,
126035712,2.164101,1.933139,0.87218,2146.25,0.87204,2146,81,2143.5,72.4,322,-26,-213,-21,11.336,0.872,0.0622924,0.641063,-121.108,0.325586,-121.108,0.641063,2.147027,1.927402,2.1677E+11,
126035840,0.677548,2.928043,0.86578,2133.83,0.86653,2135.28,25.2,2130.9,109,-564,111,303,119.7,11.828,0.8665,0.00341945,0.299398,119.76,0.325518,119.76,0.299398,0.660227,2.917299,6.72977E+11,
126036224,1.075295,2.619053,0.86572,2133.7,0.86777,2137.7,40,2131.1,97.5,-559,326,317,329.6,11.525,0.8678,0.0160443,0.310104,32.8083,0.167477,32.8083,0.310104,1.060152,2.609438,3.34965E+11,
126036736,2.429775,0.515724,0.87113,2144.21,0.87281,2147.48,90.9,2142.2,19.3,369,256,-193,269.7,11.731,0.8728,0.0447245,0.75795,-178.006,0.422865,-178.006,0.75795,2.414374,0.506928,5.3827E+11,
126036992,2.5537,0.832276,0.87212,2146.14,0.87379,2149.37,95.61,2143.79,31.17,-24,43,-326,266.7,12.372,0.8738,0.0241829,0.516743,-179.301,0.116641,-179.301,0.516743,2.536843,0.823211,2.35505E+12,
126037120,2.25525,1.8251,0.86805,2138.24,0.86845,2139.01,84.1,2135.5,68.1,355,56,-193,63.7,11.591,0.8685,0.0656355,0.63789,70.3962,0.647092,70.3962,0.63789,2.237009,1.81916,3.89942E+11,
126037376,2.684735,1.656835,0.8712,2144.35,0.87161,2145.15,100.4,2141.1,62,175,66,-281,66,11.924,0.8716,0.0386014,0.458709,22.0475,0.572688,22.0475,0.458709,2.668275,1.652052,8.3946E+11,
126038272,2.55213,2.605826,0.86789,2137.93,0.86925,2140.58,95.1,2133.6,97.2,37,227,-204,218.9,11.501,0.8692,0.0160296,0.156335,-45.5611,0.343724,-45.5611,0.156335,2.536514,2.600767,3.16957E+11,
127495808,0.026986,0.221281,0.86033,2123.22,0.86141,2125.32,1,2123.2,8.2,-138,174,-114,173.5,11.997,0.8614,0.473314,0.593755,-86.2866,0,-86.2866,0.593755,0.011379,0.216535,9.93116E+11,
127495936,0.030523,0.711648,0.85796,2118.58,0.85959,2121.77,1.13,2118.41,26.31,-13,-99,-191,263.5,12.404,0.8596,0.0182634,0.192631,150.298,0.28675,150.298,0.192631,0.013949,0.701493,2.53513E+12,
127496064,0.602016,0.892186,0.86493,2132.18,0.86745,2137.08,22.4,2131.8,33.2,-323,413,-299,404.9,11.358,0.8675,0.0711289,0.329613,0.034772,0.882977,0.034772,0.329613,0.583654,0.882566,2.28034E+11,
